,kingdom,supergroup,division,class,order,family,genus,species,taxon
Cercozoa_207,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Cryomonadida_X,Cryomonadida_XX,Cryomonadida_XX_sp.,Cryomonadida_XX_sp.
Cercozoa_21,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Limnofilida,Limnofilidae,Limnofilidae_X,Limnofilidae_X_sp.,Limnofilidae_X_sp.
Cercozoa_218,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Cryothecomonas-lineage,Cryothecomonas,Cryothecomonas_aestivalis,Cryothecomonas_aestivalis
Cercozoa_249,Eukaryota,Rhizaria,Cercozoa,Phaeodarea,Phaeoconchida,Conchariidae,Conchellium,Conchellium_capsula,Conchellium_capsula
Cercozoa_252,Eukaryota,Rhizaria,Cercozoa,Phaeodarea,Phaeocystida,Aulacanthidae,Aulacantha,Aulacantha_scolymantha,Aulacantha_scolymantha
Cercozoa_41,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Thaumatomonadida,Thaumatomonadidae,Thaumatomonas,Thaumatomonas_sp.,Thaumatomonas_sp.
Cercozoa_412,Eukaryota,Rhizaria,Cercozoa,,,,,,Cercozoa
Cercozoa_418,Eukaryota,Rhizaria,Cercozoa,Chlorarachniophyceae,Chlorarachnida,Chlorarachnida_X,Gymnochlora,Gymnochlora_sp.,Gymnochlora_sp.
Cercozoa_61,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Thaumatomonadida,Thaumatomonadidae,Thaumatomonas,Thaumatomonas_sp.,Thaumatomonas_sp.
Chlorophyta_352,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Chlamydomonas,Chlamydomonas_sp.,Chlamydomonas_sp.
Chlorophyta_815,Eukaryota,Archaeplastida,Chlorophyta,Trebouxiophyceae,Microthamniales,Microthamniales_X,Trebouxia,Trebouxia_sp.,Trebouxia_sp.
Ciliophora_520,Eukaryota,Alveolata,Ciliophora,Nassophorea,Nassophorea_X,Nassulida,Nassula,Nassula_labiata,Nassula_labiata
Ciliophora_583,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Sandmanniellidae,Sandmanniella,Sandmanniella_terricola,Sandmanniella_terricola
Ciliophora_585,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,Colpodida,Pseudoplatyophrya,Pseudoplatyophrya_nana,Pseudoplatyophrya_nana
Ciliophora_817,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia_1,Philasterida,Philasterida_X,Philasterida_X_sp.,Philasterida_X_sp.
Conosa_124,Eukaryota,Amoebozoa,Conosa,Mycetozoa-Myxogastrea,Stemonitales-Physarales,,,,Stemonitales-Physarales
Conosa_41,Eukaryota,Amoebozoa,Conosa,Variosea,ATCC50593-Flamella-WIM80-lineage,Flamella-lineage,Flamella,,Flamella
Conosa_64,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,Cavosteliids,,,Cavosteliids
Dinoflagellata_1541,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,Dino-Group-I-Clade-1_X_sp.
Dinoflagellata_1597,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Durinskia,Durinskia_dybowskii,Durinskia_dybowskii
Discoba_18,Eukaryota,Excavata,Discoba,Heterolobosea,Heterolobosea_X,Heterolobosea_XX,Neovahlkampfia,Neovahlkampfia_damariscottae,Neovahlkampfia_damariscottae
Opalozoa_17,Eukaryota,Stramenopiles,Opalozoa,MAST-3,MAST-3A,MAST-3A_X,MAST-3A_XX,MAST-3A_XX_sp.,MAST-3A_XX_sp.
Picozoa_13,Eukaryota,Hacrobia,Picozoa,Picozoa_X,Picozoa_XX,Picozoa_XXX,Picozoa_XXXX,Picozoa_XXXX_sp.,Picozoa_XXXX_sp.
Pseudofungi_114,Eukaryota,Stramenopiles,Pseudofungi,Oomycota,Oomycota_X,Peronosporales,Phytophthora,Phytophthora_tropicalis,Phytophthora_tropicalis
Pseudofungi_55,Eukaryota,Stramenopiles,Pseudofungi,,,,,,Pseudofungi
Radiolaria_115,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Nassellaria,Plagiacanthoidea,Pseudocubus,Pseudocubus_obeliscus,Pseudocubus_obeliscus
Radiolaria_116,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Nassellaria,Plagiacanthoidea,Lithomelissa,Lithomelissa_sp.,Lithomelissa_sp.
Sagenista_88,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Labyrinthulales,Labyrinthulaceae,Labyrinthulaceae_X,Labyrinthulaceae_X_sp.,Labyrinthulaceae_X_sp.
Streptophyta_350,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Porella,Porella_pinnata,Porella_pinnata
Streptophyta_453,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Zea,Zea_mays,Zea_mays
Streptophyta_503,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Delosperma,Delosperma_echinatum,Delosperma_echinatum
Streptophyta_59,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Ephedra,Ephedra_sinica,Ephedra_sinica
Telonemia_29,Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,Telonemia-Group-1,,,Telonemia-Group-1
Ciliophora_667,Eukaryota,Alveolata,Ciliophora,Plagiopylea,Plagiopylea_X,Trimyemidae,Trimyema,,Trimyema
Dinoflagellata_1397,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-23,Dino-Group-II-Clade-23_X,Dino-Group-II-Clade-23_X_sp.,Dino-Group-II-Clade-23_X_sp.
Lobosa_39,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Leptomyxida,Flabellulidae,Flabellula,,Flabellula
Metamonada_7,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha_sp.,Pyrsonympha_sp.
Sagenista_170,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Aurantiochytrium,Aurantiochytrium_sp.,Aurantiochytrium_sp.
Ciliophora_807,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia_1,Philasterida,Uronema,Uronema_elegans,Uronema_elegans
Ochrophyta_4,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-G,Chrysophyceae_Clade-G_X,Chrysophyceae_Clade-G_X_sp.,Chrysophyceae_Clade-G_X_sp.
Discoba_25,Eukaryota,Excavata,Discoba,Heterolobosea,Heterolobosea_X,,,,Heterolobosea_X
Streptophyta_487,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Anagallis,Anagallis_tenella,Anagallis_tenella
Opalozoa_176,Eukaryota,Stramenopiles,Opalozoa,MAST-12,MAST-12C,MAST-12C_X,MAST-12C_XX,MAST-12C_XX_sp.,MAST-12C_XX_sp.
Cercozoa_33,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Limnofilida,Limnofilidae,,,Limnofilidae
Radiolaria_19,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellarida,Spongodiscidae-Coccodiscidae,Didymocyrtis,Didymocyrtis_tetrathalamus,Didymocyrtis_tetrathalamus
Streptophyta_51,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Pinus,,Pinus
Cryptophyta_116,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Cryptomonas,Cryptomonas_ovata,Cryptomonas_ovata
Radiolaria_45,Eukaryota,Rhizaria,Radiolaria,RAD-A,RAD-A_X,RAD-A_XX,RAD-A_XXX,RAD-A_XXX_sp.,RAD-A_XXX_sp.
Chlorophyta_440,Eukaryota,Archaeplastida,Chlorophyta,Chlorophyceae,Chlamydomonadales,Chlamydomonadales_X,Dunaliella,Dunaliella_salina,Dunaliella_salina
Dinoflagellata_124,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Amphidinium,Amphidinium_massartii,Amphidinium_massartii
Metamonada_6,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha_sp.,Pyrsonympha_sp.
Opalozoa_164,Eukaryota,Stramenopiles,Opalozoa,Opalinata,Opalinata_X,Blastocystis-Group,Blastocystis,Blastocystis_pythoni,Blastocystis_pythoni
Radiolaria_35,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellarida,Pyloniidae-Spongodiscidae,Stylodictya,Stylodictya_sp.,Stylodictya_sp.
Apusomonadidae_5,Eukaryota,Apusozoa,Apusomonadidae,Apusomonadidae_Group-1,Apusomonadidae_Group-1_X,Apusomonadidae_Group-1_XX,Amastigomonas,Amastigomonas_sp.,Amastigomonas_sp.
Ciliophora_446,Eukaryota,Alveolata,Ciliophora,Phyllopharyngea,Suctoria,Suctoria_X,Suctoria_XX,Suctoria_XX_sp.,Suctoria_XX_sp.
Dinoflagellata_1495,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,Dino-Group-I-Clade-5_X_sp.
Ochrophyta_1092,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,Sargassum,Sargassum_horneri,Sargassum_horneri
Sagenista_51,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Labyrinthulales,Labyrinthulaceae,Labyrinthula,Labyrinthula_sp.,Labyrinthula_sp.
Metamonada_11,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha_sp.,Pyrsonympha_sp.
Metamonada_30,Eukaryota,Excavata,Metamonada,Fornicata,Fornicata_X,Carpediomonas-like,Kipferlia,Kipferlia_bialata,Kipferlia_bialata
Opalozoa_2,Eukaryota,Stramenopiles,Opalozoa,Bicoecea,Anoecales,Symbiomonaceae,Symbiomonas,Symbiomonas_scintillans,Symbiomonas_scintillans
Katablepharidophyta_1,Eukaryota,Hacrobia,Katablepharidophyta,Katablepharidaceae,Katablepharidales,Katablepharidales_X,Katablepharidales_XX,Katablepharidales_XX_sp.,Katablepharidales_XX_sp.
Dinoflagellata_1928,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophyceae_X,Tovelliaceae,Woloszynskia,Woloszynskia_sp.,Woloszynskia_sp.
Apusomonadidae_1,Eukaryota,Apusozoa,Apusomonadidae,Apusomonadidae_Group-1,Apusomonadidae_Group-1_X,Apusomonadidae_Group-1_XX,Amastigomonas,Amastigomonas_debruynei,Amastigomonas_debruynei
Centroheliozoa_5,Eukaryota,Hacrobia,Centroheliozoa,Centroheliozoa_X,,,,,Centroheliozoa_X
Radiolaria_30,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Spumellarida,Spongodiscidae-Coccodiscidae,,,Spongodiscidae-Coccodiscidae
Sagenista_53,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Labyrinthulales,Labyrinthulaceae,Labyrinthula,Labyrinthula_sp.,Labyrinthula_sp.
Opalozoa_14,Eukaryota,Stramenopiles,Opalozoa,MAST-3,MAST-3E,MAST-3E_X,MAST-3E_XX,MAST-3E_XX_sp.,MAST-3E_XX_sp.
Opalozoa_12,Eukaryota,Stramenopiles,Opalozoa,MAST-3,MAST-3F,MAST-3F_X,MAST-3F_XX,MAST-3F_XX_sp.,MAST-3F_XX_sp.
Sagenista_209,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Aurantiochytrium,Aurantiochytrium_sp.,Aurantiochytrium_sp.
Cercozoa_167,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Allapsidae,,,Allapsidae
Cercozoa_198,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,Capsellina,Capsellina_sp.,Capsellina_sp.
Cercozoa_237,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Ebriida,Ebriidae,Ebria,Ebria_tripartita,Ebria_tripartita
Cercozoa_242,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Tectofilosida,Pseudodifflugiidae,Pseudodifflugia,Pseudodifflugia_gracilis,Pseudodifflugia_gracilis
Cercozoa_332,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Cercomonadidae,Cercomonas,,Cercomonas
Cercozoa_50,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Thaumatomonadida,Thaumatomonadidae,Thaumatomonas,,Thaumatomonas
Chlorophyta_684,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Ostreococcus,Ostreococcus_lucimarinus,Ostreococcus_lucimarinus
Ciliophora_1308,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae_I,Strobilidiidae_I_X,Strobilidiidae_I_X_sp.,Strobilidiidae_I_X_sp.
Dinoflagellata_1249,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Warnowiaceae,Nematodinium,Nematodinium_sp.,Nematodinium_sp.
Dinoflagellata_1417,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-10-and-11,Dino-Group-II-Clade-10-and-11_X,Dino-Group-II-Clade-10-and-11_X_sp.,Dino-Group-II-Clade-10-and-11_X_sp.
Dinoflagellata_1712,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_texanum,Prorocentrum_texanum
Discoba_30,Eukaryota,Excavata,Discoba,Jakobida,Jakobida_X,Jakobidae,,,Jakobidae
Metamonada_12,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha_sp.,Pyrsonympha_sp.
Metamonada_24,Eukaryota,Excavata,Metamonada,,,,,,Metamonada
Opalozoa_198,Eukaryota,Stramenopiles,Opalozoa,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Pseudodendromonadales_XX,Pseudodendromonadales_XX_sp.,Pseudodendromonadales_XX_sp.
Radiolaria_49,Eukaryota,Rhizaria,Radiolaria,RAD-A,RAD-A_X,RAD-A_XX,RAD-A_XXX,RAD-A_XXX_sp.,RAD-A_XXX_sp.
Radiolaria_66,Eukaryota,Rhizaria,Radiolaria,RAD-B,RAD-B_X,,,,RAD-B_X
Rhodophyta_263,Eukaryota,Archaeplastida,Rhodophyta,Bangiophyceae,Bangiales,Bangiaceae,Dione,Dione_arcuata,Dione_arcuata
Sagenista_119,Eukaryota,Stramenopiles,Sagenista,,,,,,Sagenista
Sagenista_125,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Thraustochytrium,Thraustochytrium_striatum,Thraustochytrium_striatum
Streptophyta_494,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Rhamnus,Rhamnus_cathartica,Rhamnus_cathartica
Ciliophora_246,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Hypotrichia,Oxytrichidae,Oxytrichidae_X,Oxytrichidae_X_sp.,Oxytrichidae_X_sp.
Radiolaria_0,Eukaryota,Rhizaria,Radiolaria,Polycystinea,Nassellaria,Plagiacanthoidea,Lithomelissa,Lithomelissa_sp.,Lithomelissa_sp.
Cercozoa_289,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Cercomonadida,Paracercomonadidae,Paracercomonas,Paracercomonas_sp.,Paracercomonas_sp.
Cercozoa_86,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp.,Novel-clade-2_X_sp.
Dinoflagellata_1539,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,Dino-Group-I-Clade-1_X_sp.
Picozoa_2,Eukaryota,Hacrobia,Picozoa,Picozoa_X,Picozoa_XX,Picozoa_XXX,Picozoa_XXXX,Picozoa_XXXX_sp.,Picozoa_XXXX_sp.
Streptophyta_229,Eukaryota,Archaeplastida,Streptophyta,Zygnemophyceae,Zygnemophyceae_X,Zygnemophyceae_XX,,,Zygnemophyceae_XX
Streptophyta_476,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Euonymus,Euonymus_hamiltonianus_var._sieboldianus,Euonymus_hamiltonianus_var._sieboldianus
Ochrophyta_731,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Radial-centric-basal-Coscinodiscophyceae,Leptocylindrus,Leptocylindrus_danicus,Leptocylindrus_danicus
Rhodophyta_314,Eukaryota,Archaeplastida,Rhodophyta,,,,,,Rhodophyta
Lobosa_44,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Leptomyxida,Flabellulidae,Paraflabellula,,Paraflabellula
Cercozoa_170,Eukaryota,Rhizaria,Cercozoa,Filosa-Sarcomonadea,Glissomonadida,Glissomonadida_X,Glissomonadida_XX,Glissomonadida_XX_sp.,Glissomonadida_XX_sp.
