,n16S.mean,n16S.sd,nge.mean,nge.sd,ncds.mean,ncds.sd,genome_size.mean,genome_size.sd,GC.mean,GC.sd,phi.mean,phi.sd,confidence.mean,confidence.sd
2019.08.07_6.3_small_16S.exp.,1.0627311522048364,0.4388320747141848,1.5603547820266086,0.7999073781126264,1834.3964103422306,1077.9931768786942,2367356.2799849384,1286123.072787022,49.0279890044972,14.145967813464003,0.3708781068818437,0.034402589789550575,0.5495350861931526,0.1140653529008822
2019.08.06_3.3_16S.exp.,1.035112514790943,0.32828545126156694,1.5302227449424597,0.948693346999973,2958.9657429913873,198.84953024640075,3709931.0624204944,276908.533215127,65.85697938793056,2.5385369286883384,0.34731112986657586,0.023996276935039168,0.4196709369840472,0.13216181514045572
2019.08.07_8.2_16S.exp.,1.1179355912541296,0.6000538897530565,1.94907489134912,1.0474300094133666,3024.2545288712918,355.72387333694877,3792993.986747535,421083.5093484801,64.9538806104538,5.336162035611164,0.3408763864182804,0.029919328580952132,0.5002391045286074,0.1596395699242857
2019.08.06_1.1_16S.exp.,1.2817290122229483,0.89553341109586,2.051097793052518,1.0682586155296099,2949.0379327974542,782.8901130386923,3693177.5616733413,929262.591467568,61.317675786943184,10.278180248235085,0.3380944784617225,0.046941094721188584,0.5464551622763615,0.1554063139189247
2019.08.06_5.1_16S.exp.,1.6179837219310902,1.374886791997224,1.8228309802719964,1.128358249414497,3105.9059958106686,753.1866310229074,3803549.3312118244,889526.8722724572,60.12842284492598,11.53892082241762,0.34451514518636167,0.0814015760075438,0.4678619378313004,0.17588845064750327
2019.08.07_6.1_16S.exp.,1.1305152159837202,0.6055652867137487,1.6403138778404713,0.9020089523798878,2200.6385533253165,1089.464250629353,2792553.7951685013,1298844.2977816595,53.532369471531645,14.227525927887802,0.36358489684394846,0.04333604998873687,0.5310995160435084,0.1325298708352627
2019.08.07_6.2_small_16S.exp.,1.0686225132208511,0.45966263094771087,1.5472356879039704,0.7640870613986739,1823.7323144883737,1081.2881739926715,2356588.7243216443,1291970.5030951514,48.79208175703594,14.099632703257765,0.3706701955780756,0.03531162835707791,0.5533580034125415,0.1126568051691725
2019.08.07_7.1_small_16S.exp.,1.3350890295192799,0.9658653017889726,2.4686136551236193,0.9756844560751862,3067.900783512178,708.3546041059865,3827658.205436107,844153.795231004,62.04425950466055,9.368941147360617,0.3344217175759097,0.05018927936605859,0.6104876195429677,0.12434021235211576
2019.08.07_6.5_16S.exp.,1.091077372158838,0.5263217404465586,1.7104135889266625,0.9323180265228468,2297.593287411969,1053.7331563804871,2920734.3917555134,1256813.413372272,55.12076228472351,13.925215687317325,0.3590243450894164,0.036526839978553896,0.5294866805623679,0.1360990924467841
2019.08.06_4.4_16S.exp.,1.8632779584178703,1.475362833533551,1.6671430927004536,1.0509564804518534,3112.629570987256,962.6579826349033,3771018.3703789744,1187476.2505911249,56.582672110882385,13.181858987029287,0.3526753262563069,0.08953232545319766,0.44448998223575464,0.169007932319142
2019.08.07_7.4_16S.exp.,1.2657160945008776,0.8724055991003459,2.2501227782413933,1.0344076432985452,3091.549811516215,533.8543458747027,3863660.842031884,631775.9252972021,63.51715327846629,7.627091561960786,0.3349939319406037,0.04369189225108536,0.5652040190426874,0.1521424419251488
2019.08.07_7.2_small_16S.exp.,1.2368715412692806,0.8273264558028003,2.237645708230308,1.072713117073086,3037.6821441186853,589.6064703899252,3794151.170172495,712832.1002247784,63.29416645898695,7.96226960949447,0.3373017914361371,0.042987664736237836,0.5531744173700512,0.15462904114250792
2019.08.06_4.1_16S.exp.,1.7799919883927118,1.1681589021529297,1.5538914067087142,1.1745210276690328,3007.425941357771,921.1816381497583,3563592.784731258,1201581.7342730535,57.5785599930408,11.461145193104329,0.3856639890174349,0.10324472847516963,0.48424305367923565,0.15684322534907955
2019.08.07_7.1_16S.exp.,1.2933660933660933,0.9115639461376581,2.288902538902539,1.0324548444088582,3092.8029484029475,583.5817516857272,3863207.818058968,693749.3011757046,63.1117416685436,8.13885638304601,0.3337707309367177,0.04588862852199804,0.5732237727594857,0.14981511780076595
2019.08.06_5.4_16S.exp.,1.6116288398167948,1.8260946708013341,1.8396993348738946,1.1216806691504775,3099.298882773521,776.525239225795,3761011.258045277,923745.8018093749,60.96991184865823,10.805680568434962,0.36169385253352215,0.08046751694663035,0.47649031262600994,0.16024095581630624
2019.08.07_6.4_16S.exp.,1.1072329154994427,0.5693775992663649,1.711718282707013,0.9439488072572645,2348.2790396705523,1050.1649588855103,2980594.4701309013,1252339.2201809243,55.60092494486997,13.776671536833856,0.3573814527883685,0.038268434416113835,0.5267803459203866,0.1387220570546994
2019.08.07_6.1_small_16S.exp.,1.0580627099664055,0.4225055508674932,1.5795472724364104,0.7861317544998865,1840.6685836932754,1074.8919243567161,2376578.01956487,1284219.1417134942,49.18015755141694,14.178426195162562,0.3707334754266093,0.033857825708673135,0.5548925483096508,0.11183130610089008
2019.08.06_4.5_16S.exp.,1.991355061038452,1.6865294841191547,1.7145081324441158,1.134926740726103,3148.395252466505,1014.7862155760494,3815394.303676588,1304804.9456841003,57.50506664174787,12.501131318295807,0.35766039591192017,0.09298722231000993,0.45403209992718385,0.17109433808493815
2019.08.07_7.5_16S.exp.,1.3103650050607287,0.9344798452736786,2.2191480052294192,1.0572126594884494,3115.3816221744255,565.424277984784,3891022.3294550227,680381.0786695295,63.23625363946233,7.8880283692092386,0.33195515506051076,0.046589020177815924,0.5610553195522525,0.1571602379280801
2019.08.06_3.2_16S.exp.,1.0283204176084384,0.30483038843690335,1.5755855801313101,0.9816523728871681,2965.4381928748244,160.36651589065292,3721707.80653825,218959.00279407433,65.85367741540244,2.6737088869480425,0.346081393305607,0.01942348965208402,0.4232542155135113,0.1349931930750026
2019.08.07_8.3_16S.exp.,1.111266193289609,0.5798550159996834,1.8939057220806907,1.075193185506849,3029.744724194626,320.8838863043301,3796633.9222993115,376532.93684908486,65.1519106308618,4.787024544966464,0.34096159710464347,0.02847459548081698,0.48328680429893733,0.15844843099813102
2019.08.06_1.4_16S.exp.,1.20660581151697,0.778269852361198,2.103879161909342,1.0707945458942785,2929.543922268176,707.2531677851244,3670519.9678762536,838754.5247377359,62.18592258754054,9.520642479232619,0.34104465415192614,0.04091462249458332,0.5416695697761182,0.15364962080206762
2019.08.07_7.3_small_16S.exp.,1.2537389014550488,0.8540026414617841,2.1834818765965585,1.0864508099800634,3044.2598381778685,607.9527174594668,3802143.9578930484,727852.6056538274,63.11200130249186,8.192022289007866,0.3358684377044813,0.043765564169784346,0.5466522006681607,0.15797002435471605
2019.08.06_2.1_surface_16S.exp.,1.8495006391940942,0.9056071229667854,1.034945596330791,0.24247944899896937,2403.199663321372,880.7382480035878,2683127.546538286,1146177.9478635383,51.50741600187745,15.96917875840203,0.4307184193814059,0.10510805611768687,0.46746827464853974,0.12854898581181326
2019.08.06_5.2_16S.exp.,1.845798414026114,1.5442735184003182,2.0373321365620725,1.2335324539569061,3053.566785623893,952.7626817260701,3709084.565296213,1144536.0137876999,59.928806955164276,10.693857755340067,0.367197965775251,0.07785261078026874,0.4763228260071768,0.16008737301368708
2019.08.07_6.2_16S.exp.,1.090520844415399,0.5141812400423454,1.6330126500195044,0.8452901212475794,1983.217954466009,1102.954784215717,2543623.2177201593,1316573.4972975533,50.720015010692016,14.337821781218073,0.3668769599753382,0.03846211063892728,0.5521070197467178,0.11930793194426312
2019.08.06_4.3_16S.exp.,1.6167116048505976,1.2312460432533754,1.5192762666944917,1.1442822385156708,3094.2085008260337,875.0229441479548,3750746.3107076283,998535.709791408,59.80115199709146,11.459351364431347,0.3540386958194043,0.08974538213148797,0.4456158939447781,0.1664663402603758
2019.08.07_8.3_small_16S.exp.,1.0862693924894882,0.5127005292545261,1.9734884732492388,1.085520912926101,2999.961664491808,345.1167291581864,3759036.5844932576,407802.32578841946,65.09950915271158,4.988761034940442,0.3430054968683709,0.025779093192902745,0.4930129766722329,0.1570938734323001
2019.08.07_7.3_16S.exp.,1.3138836372507168,0.9407131150092827,2.2145260311845663,1.045653424276777,3099.328642434591,599.9678106365982,3872064.1107672136,715041.2685407756,62.90969399436963,8.391079950044599,0.3325140108962042,0.04740279617855629,0.5653631582393314,0.15477865438496022
2019.08.07_8.1_16S.exp.,1.1236059710389708,0.6090241619321796,1.8641427187600905,1.0831306048761717,3027.51804889761,361.115113662209,3794447.6841960372,424628.2177534451,64.93019540145602,5.349431713933861,0.3404994451321369,0.029981034119558006,0.47949256186512335,0.1584623322956862
2019.08.07_8.2_small_16S.exp.,1.1060952777199917,0.5667194016316137,1.9648924683249624,1.0856417041801425,3020.1252241275115,338.5613343685379,3782936.239992273,398796.7422847736,65.08172986460315,4.975253970866728,0.34179914715794535,0.028099357529329596,0.493401775275058,0.1583577809410213
2019.08.06_4_CP_0.2_16S.exp.,1.8379647749510764,1.6650404713717268,1.7859146398285342,1.0683366705007682,3258.0433510390453,1164.9870232944704,3897165.403531824,1248281.655939103,61.144383514862426,10.548097729269847,0.37874764289941826,0.055847467577633904,0.4636954074130879,0.12968179124633292
2019.08.06_2.3_surface_16S.exp.,1.9698491036986612,0.9795677683847942,1.0282118576951995,0.21682795107024402,2592.415524043745,938.8756749803939,2924117.894229657,1216691.3647732218,53.652994552301536,15.699440001779339,0.4234206256440938,0.11436150015470023,0.45362080723477355,0.13549984881913066
2019.08.06_1.2_16S.exp.,1.2635403353859265,0.8685199893712785,2.036026877347895,1.0631458831387541,2957.253015956004,752.3336791631783,3703669.305366756,897502.2397621496,61.7320349578519,9.884193108045565,0.3379505428287098,0.045502276184508576,0.5403124279130149,0.15733601350368298
2019.08.06_1_CP_ULT_16S.exp.,1.163688398715622,0.6987635108812708,1.9794526657049345,1.0447201091383862,2702.230417112631,904.7114610967723,3400151.600413002,1075280.8192227266,59.65656433322136,11.783558156088965,0.34787073978043415,0.040098359191074504,0.5389160911755244,0.14692175588374373
2019.08.06_3.1_16S.exp.,1.0232766018306634,0.2608967016608951,1.586273201118739,0.9504870980572498,2973.3785765080725,125.62913880670172,3736777.5744759887,157106.38256341632,65.95584716276376,2.2297640633635267,0.34510610988960344,0.014655559196057745,0.43137247458541783,0.1396981729169439
2019.08.06_2.2_surface_16S.exp.,1.9064839608636812,1.0143059327444277,1.0491765217819515,0.3837055197130596,2525.1937306649475,937.3465835628906,2848138.376683052,1217080.8401622428,53.01252498026907,15.064648210074525,0.4165345215180511,0.12115750701240736,0.450530740959716,0.14439843930147578
2019.08.06_2.2_bottom_16S.exp.,2.063920264015574,1.0694594669530768,1.0817629496296097,0.44001938607995034,2555.396251176859,912.078397525638,2911645.4353882964,1214656.4171416468,49.98577094565718,15.59351373337155,0.4087326876387347,0.11518523128055823,0.45363161949397646,0.14733037910609287
2019.08.06_1.3_16S.exp.,1.2568055058463103,0.8582293262968238,2.103057626578516,1.0490330442439846,2982.7087728955075,708.0330958694522,3737633.5879770657,840910.798776997,62.130637797787635,9.49664555620663,0.3376707465696299,0.04431577307179794,0.5510825362816635,0.15440042108416815
2019.08.07_8.4_16S.exp.,1.1258665905019083,0.6152913395137766,1.7592760885934615,1.0459040672756788,3029.0462268151873,340.85500119796876,3796293.731462969,401628.6033815832,64.97776005276762,5.309959587642199,0.3402357562483603,0.029743105494524,0.4661512362767155,0.15657651820613344
2019.08.07_8.1_small_16S.exp.,1.0913418358182145,0.5289952242305925,2.1226099235574716,1.0489757174115073,2999.918897072031,363.680136812196,3761288.03319412,431387.4174473439,64.96490919057052,5.328299919574709,0.34298722580611585,0.02669276636595301,0.5238563833898006,0.15562341474143165
2019.08.06_2.3_bottom_16S.exp.,1.989916060773827,0.9959076530818773,1.074276798428168,0.4855111859347665,2505.529607526934,903.1777873544569,2835983.284000992,1193314.5592448018,50.339969395597265,15.941061554611911,0.41776048187268683,0.11164305779569662,0.4566265312972532,0.13885323223728396
2019.08.07_6.3_16S.exp.,1.1184045709262718,0.5963619117577247,1.6446965534922904,0.8968620369091298,2216.041372742922,1098.0013709665013,2822229.949208878,1309051.1464082685,53.584839708154675,14.207616335807673,0.360129390514887,0.039993620994581425,0.5322153596636042,0.13415595596033986
2019.08.06_4.2_16S.exp.,1.973120861325896,1.4012234789005928,1.7531117895991026,1.5019090520145855,2984.2980606287297,876.6477590528294,3561637.533822284,1068059.3861253965,56.275474639196595,12.893585183581411,0.36751059032457745,0.09127749920398472,0.44452068464217287,0.15284985131296738
2019.08.06_4_CP_ULT_16S.exp.,1.6185690862006652,1.617511321172458,1.9622379097905414,1.2288135056724474,3182.654935836804,1083.3554186132271,3871364.6069145794,1239305.485725802,62.51323104024515,8.870384729698783,0.3660687168504842,0.05545458536620751,0.49261722020869353,0.1451252622533613
2019.08.07_7.2_16S.exp.,1.2801005271138788,0.9023047350211816,2.1920252846116774,1.0767526051089449,3086.5694519402937,551.717390364869,3853898.0876337225,655999.7628019253,63.34496872277469,7.853929568477206,0.3348946110134843,0.044323814663519555,0.5504809626317512,0.15764985996658817
2019.08.06_1_CP_0.2_16S.exp.,1.0496995555176645,0.40375859808348513,2.375486352134704,0.9978429225050981,2754.5870646034045,719.2599298266645,3462448.0491262344,856115.0674364192,62.04590923295564,9.889688753245713,0.3515663445459151,0.024783011970384898,0.5743631903301227,0.12806803414058915
2019.08.06_2.1_bottom_16S.exp.,2.1172637624901536,1.048742020318198,1.126243449784269,0.6874301068077184,2646.535466135517,947.3212849989817,3016323.383998032,1244285.1078857635,50.33774820000638,16.001741515023554,0.4071441969227793,0.11787805984922534,0.44727810456982614,0.14684729833002216
